Team 1,Team 2,Season,Group,Match ID,Score Team 1,Score Team 2,Time,Season,Red Card Team 1,Red Card Team 2,Win Team 1,Win Team 2
BBF,L7F,1,A,0,11,1,Final,S1,0,0,1,0
MCH,SWF,1,B,1,8,2,Final,S1,0,0,1,0
NPC,HBD,1,A,2,5,2,Final,S1,0,0,1,0
FCB,HPA,1,B,3,6,1,Final,S1,0,0,1,0
WCS,HBD,1,A,4,1,5,Final,S1,0,0,0,1
HVB,HPA,1,B,5,1,10,Final,S1,0,0,0,1
NFC,TUE,1,A,6,9,1,Final,S1,0,0,1,0
MFC,WSR,1,B,7,2,2,Final,S1,0,0,0,0
BBF,WCS,1,A,8,9,1,Final,S1,0,0,1,0
MCH,HVB,1,B,9,8,2,Final,S1,1,0,1,0
NPC,TUE,1,A,10,6,0,Final,S1,0,0,1,0
MFC,SWF,1,B,11,5,0,Forfeit,S1,0,0,1,0
FCB,WSR,1,B,12,2,6,Final,S1,0,0,0,1
HBD,BBF,1,A,13,1,5,Final,S1,0,0,0,1
NFC,L7F,1,A,14,5,0,Forfeit,S1,0,0,1,0
HPA,WSR,1,B,15,1,8,Final,S1,0,0,0,1
WCS,NFC,1,A,16,0,7,Final,S1,0,0,0,1
HVB,MFC,1,B,17,0,16,Final,S1,0,0,0,1
MCH,HPA,1,B,18,7,1,Final,S1,0,0,1,0
TUE,L7F,1,A,19,1,3,Final,S1,0,0,0,1
WSR,HVB,1,B,20,12,1,Final,S1,1,0,1,0
NPC,BBF,1,A,21,2,2,Final,S1,0,0,0,0
MFC,FCB,1,B,22,2,1,Final,S1,0,0,1,0
NFC,HBD,1,A,23,3,1,Final,S1,0,0,1,0
NPC,L7F,1,A,24,11,4,Final,S1,0,0,1,0
WSR,SWF,1,B,25,5,2,Final,S1,0,0,1,0
TUE,WCS,1,A,26,4,2,Final,S1,0,0,1,0
FCB,SWF,1,B,27,3,2,Final,S1,0,0,1,0
TUE,HBD,1,A,28,1,3,Final,S1,0,0,0,1
WCS,L7F,1,A,29,1,2,Final,S1,0,0,0,1
NPC,NFC,1,A,30,2,2,Final,S1,0,0,0,0
MFC,HPA,1,B,31,6,0,Final,S1,0,0,1,0
WSR,MCH,1,B,32,1,5,Final,S1,0,0,0,1
HBD,L7F,1,A,33,0,5,Forfeit,S1,0,0,0,1
BBF,NFC,1,A,34,4,3,Final,S1,0,0,1,0
MCH,MFC,1,B,35,5,2,Final,S1,0,0,1,0
FCB,HVB,1,B,36,7,1,Final,S1,0,0,1,0
SWF,HPA,1,B,37,0,5,Forfeit,S1,0,0,0,1
FCB,MCH,1,B,38,1,5,Final,S1,0,0,0,1
BBF,TUE,1,A,39,7,1,Final,S1,0,0,1,0
HVB,SWF,1,B,40,1,15,Final,S1,0,0,0,1
NPC,WCS,1,A,41,7,3,Final,S1,0,0,1,0
MFC,NFC,1,Playoff,42,4,2,Playoff/OT,S1,0,0,1,0
NPC,WSR,1,Playoff,43,1(2),1(1),Playoff/OT,S1,0,0,1,0
MFC,BBF,1,Playoff,44,2,3,Playoff/FT,S1,0,0,0,1
NPC,MCH,1,Playoff,45,4,5,Playoff/FT,S1,0,0,0,1
BBF,MCH,1,Playoff,46,2,7,Playoff/FT,S1,0,0,0,1
BBL,TOE,2,A,47,16,1,Final,S2,0,0,1,0
LJP,ASB,2,B,48,2,7,Final,S2,0,0,0,1
TFF,MCH,2,B,49,3,3,Final,S2,0,0,0,0
NPC,SFA,2,A,50,9,2,Final,S2,0,0,1,0
TOE,BNC,2,A,51,1,9,Final,S2,0,0,0,1
HBD,HPA,2,B,52,9,1,Final,S2,0,0,1,0
CSW,SHT,2,A,53,2,1,Final,S2,0,0,1,0
ASB,E44,2,B,54,8,0,Final,S2,0,0,1,0
SFA,SHT,2,A,55,5,1,Final,S2,0,0,1,0
HBD,ASB,2,B,56,4,7,Final,S2,0,0,0,1
CSW,TOE,2,A,57,2,3,Final,S2,0,0,0,1
NPC,BNC,2,A,58,3,4,Final,S2,0,0,0,1
HBD,E44,2,B,59,5,4,Final,S2,0,0,1,0
ASB,MCH,2,B,60,2,4,Final,S2,0,0,0,1
SHT,BNC,2,A,61,1,6,Final,S2,0,0,0,1
CSW,BBL,2,A,62,0,9,Final,S2,0,0,0,1
TFF,LJP,2,B,63,3,2,Final,S2,0,0,1,0
MCH,LJP,2,B,64,8,0,Final,S2,0,0,1,0
HPA,E44,2,B,65,0,5,Forfeit,S2,0,0,0,1
SHT,BBL,2,A,66,2,11,Final,S2,0,0,0,1
SFA,CSW,2,A,67,2,1,Final,S2,0,0,1,0
NPC,TOE,2,A,68,16,1,Final,S2,1,0,1,0
MCH,E44,2,B,69,5,1,Final,S2,0,0,1,0
HPA,ASB,2,B,70,0,5,Forfeit,S2,0,0,0,1
BNC,BBL,2,A,71,2,5,Final,S2,0,0,0,1
TOE,SHT,2,A,72,2,5,Final,S2,0,0,0,1
HBD,TFF,2,B,73,4,3,Final,S2,0,0,1,0
MCH,HBD,2,B,74,8,2,Final,S2,0,0,1,0
ASB,TFF,2,B,75,6,2,Final,S2,0,0,1,0
TOE,SFA,2,A,76,3,2,Final,S2,0,0,1,0
NPC,BBL,2,A,77,2,1,Final,S2,0,0,1,0
LJP,HPA,2,B,78,5,0,Forfeit,S2,0,0,1,0
LJP,E44,2,B,79,7,7,Final,S2,0,0,0,0
SFA,BBL,2,A,80,6,9,Final,S2,0,0,0,1
BNC,CSW,2,A,81,3,1,Final,S2,0,0,1,0
HPA,TFF,2,B,82,0,5,Forfeit,S2,0,0,0,1
SHT,NPC,2,A,83,3,10,Final,S2,0,0,0,1
LJP,HBD,2,B,84,3,8,Final,S2,0,0,0,1
SFA,BNC,2,A,85,3,5,Final,S2,0,0,0,1
NPC,CSW,2,A,86,6,1,Final,S2,0,1,1,0
E44,TFF,2,B,87,0,9,Final,S2,0,0,0,1
HPA,MCH,2,B,88,0,5,Forfeit,S2,0,0,0,1
BNC,ASB,2,Playoff,89,4,5,Playoff/FT,S2,0,0,0,1
NPC,HBD,2,Playoff,90,2,0,Playoff/FT,S2,0,0,1,0
BBL,ASB,2,Playoff,91,5,3,Playoff/FT,S2,0,0,1,0
NPC,MCH,2,Playoff,92,0,1,Playoff/FT,S2,0,0,0,1
BBL,MCH,2,Playoff,93,2,3,Playoff/FT,S2,0,0,0,1
HBD,BNC,3,B,94,2,5,Final,S3,0,0,0,1
VSH,HFC,3,B,95,11,0,Final,S3,0,0,1,0
NFA,FTS,3,A,96,1,6,Final,S3,0,0,0,1
NPC,TOE,3,A,97,6,1,Final,S3,0,0,1,0
ASB,HFC,3,B,98,4,1,Final,S3,0,0,1,0
BNC,MCH,3,B,99,5,5,Final,S3,1,0,0,0
FTS,TOE,3,A,100,2,5,Final,S3,0,0,0,1
BXB,HVB,3,A,101,11,1,Final,S3,0,0,1,0
MCH,HBD,3,B,102,11,4,Final,S3,0,0,1,0
NPC,FTS,3,A,103,8,2,Final,S3,0,0,1,0
NFA,TOE,3,A,104,4,3,Final,S3,0,0,1,0
MCH,HFC,3,B,105,12,2,Final,S3,0,0,1,0
NPC,HVB,3,A,106,10,4,Final,S3,0,0,1,0
HBD,HFC,3,B,107,6,0,Final,S3,0,0,1,0
MCH,ASB,3,B,108,11,2,Final,S3,0,0,1,0
HVB,FTS,3,A,109,1,3,Final,S3,0,0,0,1
VSH,BNC,3,B,110,0,2,Final,S3,0,0,0,1
BXB,TOE,3,A,111,10,1,Final,S3,0,0,1,0
HBD,VSH,3,B,112,7,1,Final,S3,0,0,1,0
BNC,ASB,3,B,113,4,0,Final,S3,0,0,1,0
NFA,HVB,3,A,114,0,5,Forfeit,S3,0,0,0,1
NPC,BXB,3,A,115,1,2,Final,S3,0,0,0,1
VSH,ASB,3,B,116,7,5,Final,S3,0,0,1,0
BXB,FTS,3,A,117,4,0,Final,S3,0,0,1,0
HFC,BNC,3,B,118,2,3,Final,S3,0,0,0,1
NFA,NPC,3,A,119,0,5,Forfeit,S3,0,0,0,1
HVB,TOE,3,A,120,5,7,Final,S3,0,0,0,1
HBD,ASB,3,B,121,10,1,Final,S3,0,0,1,0
VSH,MCH,3,B,122,4,5,Final,S3,0,0,0,1
NFA,BXB,3,A,123,0,5,Forfeit,S3,0,0,0,1
TOE,BNC,3,Playoff,124,1,7,Playoff/FT,S3,0,0,0,1
NPC,HBD,3,Playoff,125,1(1),1(3),Playoff/OT,S3,0,0,0,1
BXB,BNC,3,Playoff,126,1,3,Playoff/FT,S3,0,0,0,1
MCH,HBD,3,Playoff,127,8,0,Playoff/FT,S3,0,0,1,0
MCH,BNC,3,Playoff,128,3,0,Playoff/FT,S3,0,0,1,0
TOE,NPC,4,A,129,1,17,Final,S4,0,0,0,1
MCH,SWF,4,A,130,4,0,Final,S4,0,0,1,0
BBL,DTF,4,B,131,7,3,Final,S4,0,0,1,0
BNC,RIP,4,B,132,3,2,Final,S4,0,0,1,0
NPC,ASB,4,A,133,3,2,Final,S4,0,0,1,0
TOE,IFC,4,A,134,2,0,Final,S4,0,0,1,0
BBL,NCA,4,B,135,2,1,Final,S4,0,0,1,0
WCS,BBL,4,B,136,0,10,Final,S4,0,0,0,1
IFC,SWF,4,A,137,3,2,Final,S4,0,0,1,0
TOE,VSH,4,A,138,5,3,Final,S4,0,0,1,0
RIP,DTF,4,B,139,3,4,Final,S4,0,0,0,1
NPC,MCH,4,A,140,2,2,Final,S4,0,0,0,0
TOE,ASB,4,A,141,1,7,Final,S4,0,0,0,1
VSH,MCH,4,A,142,1,5,Final,S4,0,0,0,1
WCS,NCA,4,B,143,0,5,Forfeit,S4,0,0,0,1
TOE,SWF,4,A,144,4,6,Final,S4,0,0,0,1
BNC,DTF,4,B,145,1,0,Final,S4,0,0,1,0
NPC,IFC,4,A,146,6,1,Final,S4,0,0,1,0
WCS,RIP,4,B,147,0,5,Forfeit,S4,0,0,0,1
ASB,SWF,4,A,148,1,2,Final,S4,0,0,0,1
MCH,IFC,4,A,149,3,1,Final,S4,0,0,1,0
RIP,BBL,4,B,150,2,12,Final,S4,0,0,0,1
VSH,SWF,4,A,151,2,5,Final,S4,0,0,0,1
WCS,DTF,4,B,152,0,5,Forfeit,S4,0,0,0,1
BNC,NCA,4,B,153,4,3,Final,S4,0,0,1,0
ASB,IFC,4,A,154,4,1,Final,S4,0,0,1,0
BNC,BBL,4,B,155,4,2,Final,S4,0,0,1,0
MCH,ASB,4,A,156,3,5,Final,S4,1,0,0,1
RIP,NCA,4,B,157,1,2,Final,S4,0,0,0,1
MCH,TOE,4,A,158,11,3,Final,S4,0,0,1,0
ASB,VSH,4,A,159,5,2,Final,S4,0,0,1,0
NPC,VSH,4,A,160,4,1,Final,S4,0,0,1,0
IFC,VSH,4,A,161,0,1,Final,S4,0,0,0,1
WCS,BNC,4,B,162,0,5,Forfeit,S4,0,0,0,1
NCA,DTF,4,B,163,0,10,Final,S4,0,0,0,1
NPC,SWF,4,A,164,2,1,Final,S4,0,0,1,0
MCH,DTF,4,Playoff,165,3,1,Playoff/FT,S4,0,0,1,0
ASB,BBL,4,Playoff,166,1,6,Playoff/FT,S4,0,0,0,1
MCH,BNC,4,Playoff,167,10,1,Playoff/FT,S4,0,0,1,0
NPC,BBL,4,Playoff,168,1,3,Playoff/FT,S4,0,0,0,1
MCH,BBL,4,Playoff,169,2,3,Playoff/FT,S4,0,0,0,1
WCS,GFC,5,B,170,2,10,Final,S5,0,0,0,1
TGS,SEX,5,A,171,5,0,Forfeit,S5,0,0,1,0
ASB,SHT,5,B,172,1,6,Final,S5,0,0,0,1
SSS,HFC,5,A,173,2,2,Final,S5,0,0,0,0
SSS,SEX,5,A,174,3,1,Final,S5,0,0,1,0
TGS,VBF,5,A,175,5,0,Forfeit,S5,0,0,1,0
NPC,GFC,5,B,176,1,3,Final,S5,0,0,0,1
WCS,ASB,5,B,177,1,1,Final,S5,0,0,0,0
BBL,HFC,5,A,178,1,1,Final,S5,0,0,0,0
SSS,BBL,5,A,179,2,5,Final,S5,0,0,0,1
ASB,BAC,5,B,180,5,0,Forfeit,S5,0,0,1,0
TOE,GFC,5,B,181,1,3,Final,S5,0,0,0,1
HFC,VBF,5,A,182,9,4,Final,S5,0,0,1,0
NPC,SHT,5,B,183,3,3,Final,S5,0,0,0,0
GFC,ASB,5,B,184,2,1,Final,S5,0,0,1,0
WCS,BAC,5,B,185,2,7,Final,S5,0,0,0,1
SSS,TGS,5,A,186,7,5,Final,S5,0,0,1,0
TOE,BAC,5,B,187,1,2,Final,S5,0,0,0,1
BBL,VBF,5,A,188,6,1,Final,S5,0,0,1,0
NPC,TOE,5,B,189,8,1,Final,S5,0,0,1,0
HFC,TGS,5,A,190,6,4,Final,S5,0,0,1,0
VBF,SEX,5,A,191,0,6,Final,S5,0,0,0,1
SHT,GFC,5,B,192,6,1,Final,S5,0,0,1,0
SHT,TOE,5,B,193,5,2,Final,S5,0,0,1,0
NPC,BAC,5,B,194,5,0,Forfeit,S5,0,0,1,0
SHT,WCS,5,B,195,5,0,Forfeit,S5,0,0,1,0
TGS,BBL,5,A,196,2,9,Final,S5,0,1,0,1
GFC,BAC,5,B,197,10,0,Final,S5,0,0,1,0
ASB,TOE,5,B,198,3,4,Final,S5,0,0,0,1
SSS,VBF,5,A,199,7,3,Final,S5,0,0,1,0
WCS,NPC,5,B,200,0,10,Final,S5,0,0,0,1
SEX,HFC,5,A,201,4,1,Final,S5,0,0,1,0
SEX,BBL,5,A,202,4,3,Final,S5,0,0,1,0
TOE,WCS,5,B,203,2,1,Final,S5,0,0,1,0
ASB,NPC,5,B,204,3,3,Final,S5,0,0,0,0
SHT,BAC,5,B,205,5,0,Forfeit,S5,0,0,1,0
BBL,TOE,5,Playoff,206,9,2,Playoff/FT,S5,0,0,1,0
GFC,SEX,5,Playoff,207,2,3,Playoff/OT,S5,0,0,0,1
HFC,SHT,5,Playoff,208,7(3),7(2),Playoff/OT,S5,0,0,1,0
NPC,SSS,5,Playoff,209,11,1,Playoff/FT,S5,0,0,1,0
BBL,SEX,5,Playoff,210,2,6,Playoff/FT,S5,0,0,0,1
NPC,HFC,5,Playoff,211,4,1,Playoff/FT,S5,0,0,1,0
NPC,SEX,5,Playoff,212,1,0,Playoff/FT,S5,0,0,1,0
TOE,LBJ,6,C,213,1,3,Final,S6,0,0,0,1
NFC,DTF,6,A,214,2,0,Final,S6,0,1,1,0
NPC,GGS,6,B,215,9,2,Final,S6,0,0,1,0
WCS,MCH,6,C,216,0,11,Final,S6,0,0,0,1
MFC,TGS,6,A,217,4,3,Final,S6,0,0,1,0
SWF,DCK,6,B,218,17,1,Final,S6,0,0,1,0
DTF,VSH,6,A,219,4,7,Final,S6,0,0,0,1
LBJ,BNC,6,C,220,2,10,Final,S6,0,0,0,1
DOG,NPC,6,B,221,0,8,Final,S6,0,0,0,1
HRM,TGS,6,A,222,1,10,Final,S6,0,0,0,1
MFC,NFC,6,A,223,1,5,Final,S6,0,0,0,1
